protest_date,region,location,actor,size,notes
2019-01-18,Baden-Württemberg,Freiburg,FFF,3500.0,"Thousands of students demonstrate for more climate protection in Freiburg, Germany."
2019-01-18,Baden-Württemberg,Unknown,FFF,22000.0,Thousands of students demonstrate for more climate protection in Switzerland.
2020-09-25,Nordrhein-Westfalen,Erkelenz/Aachen,OTHER_CLIMATE_GROUP,3000.0,"Climate activists protested for an immediate end to coal and gas power generation in the Rhineland lignite mining area, with some demonstrators occupying facilities on the edge of the mine and in the Weisweiler power plant, resulting in confrontations with the police."
2020-09-25,Nordrhein-Westfalen,Düsseldorf,OTHER_CLIMATE_GROUP,200.0,Approximately 200 demonstrators protested against a gas power plant in Düsseldorf.
2020-09-25,Bayern,OTHER,OTHER_CLIMATE_GROUP,,"Demonstrators occupied a construction site for a new pipeline between the Netherlands and Westphalia, arguing that gas is also extremely harmful to the climate and calling for an immediate exit from all fossil fuels."
2018-10-05,Nordrhein-Westfalen,Hambacher Forst,Ende Gelände,50000.0,"Climate activists built new treehouses in the Hambach Forest to protest against lignite mining, with thousands of people demonstrating for the phase-out of coal and a quick transition to renewable energy."
2019-07-25,Baden-Württemberg,Stuttgart,FFF,350.0,"Climate activists demonstrate at Stuttgart Airport against environmentally harmful flying, hanging up posters and banners and chanting slogans, with no confrontations with the police reported."
2020-02-26,Nordrhein-Westfalen,Datteln,GP,,"Protest against the operation of the coal-fired power plant Datteln 4, with activists projecting images and slogans onto the cooling tower."
2019-03-15,Bremen,Bremen,FFF,5000.0,"The largest demonstration of the 'Fridays For Future' movement in Bremen, with around 5000 participants, including parents and grandparents, marching from the main train station to the market square to demand better climate policies; the protest was supported by the initiative 'Parents for Future' and featured teach-ins on climate change and climate justice."
2019-03-15,Berlin,Berlin,FFF,25000.0,"Around 25,000 participants, including students and their supporters, took part in the 'Fridays For Future' demonstration in Berlin, demanding an end to the use of coal, oil, and gas, and more investments in renewable energy sources."
2019-07-11,Nordrhein-Westfalen,Köln,FFF,,"Students in Cologne participate in a 'Fridays for Future' protest for more climate protection, demanding that the issue be given top priority."
2019-07-11,Nordrhein-Westfalen,Dortmund,FFF,,"Students in Dortmund participate in a 'Fridays for Future' protest for more climate protection, demanding that the issue be given top priority."
2020-01-10,,Canberra/Sydney,OTHER_CLIMATE_GROUP,,Thousands protest against the Australian government's handling of the bushfires and demand action on climate change.
2020-09-26,Rheinland-Pfalz,Rheinland,OTHER_CLIMATE_GROUP,3000.0,"Climate activists protested for an immediate end to coal and gas power generation in the Rhineland coal mining region, with clashes between protesters and police."
2020-09-26,Nordrhein-Westfalen,Düsseldorf,OTHER_CLIMATE_GROUP,200.0,Approximately 200 demonstrators protested against a gas power plant in Düsseldorf.
2020-09-26,Nordrhein-Westfalen,Keyenberg,OTHER_CLIMATE_GROUP,,Protesters mobilized against the mining plans in Keyenberg and occupied an abandoned restaurant.
2020-09-25,,Germany,FFF,,"On Friday, tens of thousands of people across Germany took to the streets in response to the call from Fridays for Future for climate protection."
2020-01-14,Hessen,Frankfurt,FFF,,Fridays for Future protesters in Frankfurt demonstrate against Siemens for their involvement in a controversial construction project in Australia.
2020-01-10,,,OTHER_CLIMATE_GROUP,,Protests against the Australian government's handling of the bushfires and their inaction on climate change.
2019-03-08,Berlin,Berlin,FFF,,Berlin students continue to fight for climate protection despite storm and rain - 'Friday for Future' demonstration at Invalidenpark.
2020-02-21,Hamburg,Hamburg,FFF,60000.0,"Tens of thousands of people, including Greta Thunberg, gathered in Hamburg to protest for climate action two days before the local election, demanding decisive political initiatives to fight global warming."
2019-09-12,Hessen,Frankfurt,OTHER_CLIMATE_GROUP,,"Climate activists block access to the IAA car show in Frankfurt to protest against the destructive transportation system, calling for car-free cities, free public transportation, and more bike lanes; the police intervened."
2019-09-14,Hessen,Frankfurt,OTHER_CLIMATE_GROUP,,"Climate activists block access to the IAA car show in Frankfurt to protest against the destructive transportation system, demanding car manufacturers to be disempowered and for a shift towards climate-friendly transportation."
2017-08-26,Nordrhein-Westfalen,Nordrhein-Westfalen,OTHER_CLIMATE_GROUP,3000.0,"Protest in the coal mining region: Environmental organizations demand an exit - Environmental organizations, Greens, and around 3000 citizens in North Rhine-Westphalia formed a human chain to demand a coal exit in Germany."
2019-07-12,Nordrhein-Westfalen,Köln,FFF,,"Students in Cologne demonstrate for more climate protection after school, even during the holidays."
2019-07-12,Nordrhein-Westfalen,Düsseldorf,FFF,,Students in Düsseldorf continue their protests for more climate protection during the holidays.
2019-07-12,Nordrhein-Westfalen,Dortmund,FFF,,"A 'Fridays for Future-Summer Congress' is organized in Dortmund, where young people from Germany, Austria, Switzerland, and Belgium come together for workshops and concerts."
2020-09-26,Nordrhein-Westfalen,Erkelenz/Aachen,OTHER_CLIMATE_GROUP,3000.0,"Climate activists protested for an immediate end to coal and gas power generation in the Rhineland coal mining region, with some protesters occupying facilities at the edge of the mine and the Weisweiler power plant, resulting in confrontations with the police who used pepper spray and police dogs to keep the protesters away from the mine."
2020-09-26,Nordrhein-Westfalen,Düsseldorf,OTHER_CLIMATE_GROUP,200.0,Approximately 200 demonstrators protested against a gas power plant in Düsseldorf.
2020-09-26,Baden-Württemberg,Unknown,OTHER_CLIMATE_GROUP,,"Demonstrators occupied a construction site for a new pipeline between the Netherlands and Westphalia, arguing that gas is also extremely harmful to the climate and calling for an immediate exit from all fossil fuels."
2020-05-30,Nordrhein-Westfalen,Datteln,FFF,,"Protest against the newly commissioned coal-fired power plant Datteln 4 in the northern Ruhr area, with activists from Fridays for Future, Greenpeace, Ende Gelände, and BUND participating; peaceful protests with some confrontations with the police."
2020-01-16,Bayern,Erlangen,XR,10.0,Protest against Siemens: Climate activists glued themselves to the entrance door in Erlangen.
2022-08-15,Hamburg,Hamburg,Ende Gelände,2000.0,"Climate activists blockaded the Hamburg port to protest against the expansion of fossil infrastructure and colonial economic structures, resulting in clashes with the police who used pepper spray, batons, and water cannons to disperse the blockade."
2017-11-04,Nordrhein-Westfalen,Bonn,OTHER_CLIMATE_GROUP,25000.0,"Thousands of people demonstrate in Bonn for coal phase-out and comprehensive energy transition, two days before the start of the World Climate Conference."
2023-01-08,Rheinland-Pfalz,Lützerath,OTHER_CLIMATE_GROUP,,"Protest against coal mining in Lützerath, including sit-in blockades and occupation of the area, with confrontations between activists and police."
2019-03-16,Nordrhein-Westfalen,Gronau,FFF,70.0,"Protest march in Gronau with around 70 participants, organized by parents and supported by the Fridays for Future movement, calling for more climate protection and criticizing politicians for not taking the issue seriously."
2020-05-30,Nordrhein-Westfalen,Datteln,FFF,,"Protest against the newly commissioned coal-fired power plant Datteln 4, with participation from Fridays for Future, Greenpeace, Ende Gelände, and BUND; peaceful protests with some confrontations with the police."
2020-06-02,Berlin,Berlin,FFF,2000.0,"Protest against a car premium to stimulate the economy during the COVID-19 crisis, organized by Fridays for Future, Campact, and Verkehrsclub Deutschland (VCD), with over 2000 participants forming a human chain in front of the Chancellery in Berlin."
2019-09-13,,Washington,FFF,,"Greta Thunberg protest in front of the White House, accusing Trump of being a liar and calling for more climate protection."
2020-02-21,Hamburg,Hamburg,FFF,60000.0,"Tens of thousands of people, including Greta Thunberg and the hip-hop group Fettes Brot, gathered in Hamburg to demand more decisive action against climate change, with participants holding signs calling for political initiatives for more climate protection and stating 'We strike until you act' and 'The earth is on fire'; the police estimated around 20,000 participants, while the organizers claimed 60,000."
2021-08-20,Berlin,Berlin,XR,200.0,"Climate activists climbed the Brandenburg Gate and chained themselves to the Quadriga, while others blocked the nearby Ebertstraße, causing traffic to come to a standstill. The police allowed the action to continue if the protesters left the road and moved to the adjacent Platz des 18. März. If this did not happen, the police would clear the intersection with force."
2019-02-08,Bayern,Coburg,FFF,400.0,"Protest against climate change organized by Fridays for Future in Coburg with around 400 participants, including students from local schools, demanding action from politicians and expressing frustration with the lack of attention given to the issue."
2017-01-21,Berlin,Berlin,OTHER_CLIMATE_GROUP,10000.0,"Thousands protest in Berlin against 'agricultural industry' - demonstration against the agricultural industry and for a fundamental realignment of agriculture, including the participation of tractors, with calls for improvements and a stop to mega-mergers in the agricultural sector."
2019-06-21,Nordrhein-Westfalen,Aachen,FFF,40000.0,"Fridays for Future: Sie meinen es ernst - In Aachen haben sich Zehntausende Menschen aus verschiedenen Ländern getroffen, um gemeinsam auf die Straße zu gehen und für mehr Klimaschutz und mehr Engagement der Politik zu demonstrieren."
2020-01-18,Berlin,Berlin,OTHER_CLIMATE_GROUP,27000.0,"Thousands of people protested in Berlin for a change in agriculture policy, with demands including the abolition of factory farming and the protection of insects; more than 150 tractors drove through the city center; the protest was peaceful."
2018-10-27,Nordrhein-Westfalen,Hambacher Forst,EG,6500.0,"Environmental activists occupied the railway tracks in the Hambach open-pit mine, protesting against coal mining and demanding an immediate coal phase-out; clashes with the police occurred, including the use of water cannons."
2019-03-29,Berlin,Berlin,FFF,20000.0,"More than 20,000 participants at the Friday climate protest in Berlin, organized by Fridays For Future, with Swedish activist Greta Thunberg speaking at the closing rally."
2021-03-19,Berlin,Berlin,FFF,,Fridays for Future protest in Berlin with art on the Oberbaumbrücke bridge.
2020-11-27,Bayern,München,XR,,"Climate activists protested in front of the Amazon headquarters in Munich on Black Friday, using labeled packages to express their dissatisfaction with the company and to protest against global consumerism."
2019-06-21,Rheinland-Pfalz,Neurath,EG,800.0,"Around 800 activists blocked the railway tracks leading to the Neurath coal-fired power plant in the Rhineland lignite mining area, demanding an immediate coal phase-out in the face of the climate crisis."
2019-06-21,Nordrhein-Westfalen,Aachen,FFF,40000.0,"Fridays for Future organized an international demonstration in Aachen with 40,000 participants from at least 16 countries."
2020-05-30,Nordrhein-Westfalen,Datteln,FFF,,"Protest against the newly commissioned coal-fired power plant Datteln 4 in the northern Ruhr area, with participation from Fridays for Future, Greenpeace, Ende Gelände, and BUND; peaceful protests with some confrontations with the police, including arrests for wearing masks and disrupting police measures."
2019-09-13,,Washington,FFF,,"Greta Thunberg protest in front of the White House, accusing Trump of being a liar and calling for more climate protection."
2017-01-21,Berlin,Berlin,OTHER_CLIMATE_GROUP,10000.0,"Thousands protest in Berlin against 'agricultural industry' - demonstration against industrial agriculture and for a fundamental realignment of agriculture, including the participation of tractors, with calls for a stop to mega-mergers in the agricultural sector and incentives for farmers to keep animals in a particularly species-appropriate manner and to operate in an environmentally friendly manner."
2020-02-21,Hamburg,Hamburg,FFF,60000.0,"Tens of thousands of people, including Greta Thunberg and the hip-hop group Fettes Brot, gathered in Hamburg to demand more decisive action against global warming."
2021-03-19,Hamburg,Hamburg,FFF,,"Fridays for Future: Erster globaler Klimastreik des Jahres in Hamburg mit Fahrraddemos und einem sechzig Meter langen Schriftzug 'Wir alle für 1,5 Grad C'."
2021-03-19,Sachsen,Dresden,FFF,,Fridays for Future: Erster globaler Klimastreik des Jahres in Dresden mit Protesten an 1000 Kreuzungen in der Stadt.
2021-03-19,Berlin,Berlin,FFF,,"Fridays for Future: Erster globaler Klimastreik des Jahres in Berlin mit einer Kundgebung, bei der Luisa Neubauer die Klimaaktivisten auf das Superwahljahr 2021 einschwor und die Regierung herausforderte."
2021-03-19,Schleswig-Holstein,Stockholm,FFF,,Fridays for Future: Erster globaler Klimastreik des Jahres in Stockholm mit Protesten auf dem zentralen Platz Sergels torg.
2023-01-12,Rheinland-Pfalz,Lützerath,OTHER_CLIMATE_GROUP,,"Protest against the eviction of the coal town Lützerath, with resistance from activists, including fireworks thrown at the police, and a demonstration with about 800 participants from the neighboring town of Keyenberg."
2018-01-20,Berlin,Berlin,OTHER_CLIMATE_GROUP,33000.0,"Tens of thousands protest in Berlin for a change in agricultural policy, calling for an end to the use of the herbicide glyphosate and a new agricultural policy."
2020-06-02,Hessen,Frankfurt,FFF,130.0,130 activists demonstrate in the banking district of Frankfurt against the scrapping premium for cars.
2019-06-05,Berlin,Berlin,FFF,,"Youth climate activists staged a die-in protest in the Bundestag during a speech by Bundestag President Wolfgang Schäuble, to put pressure on the German government and highlight the severity of the climate crisis."
2020-02-02,Nordrhein-Westfalen,Datteln,Ende Gelände,100.0,"Climate activists occupied parts of the Datteln coal power plant in North Rhine-Westphalia, calling for a quick coal phase-out."
2020-10-31,Berlin,Berlin,OTHER_CLIMATE_GROUP,,Protesters disrupt the opening of the new Berlin Brandenburg Airport (BER) to advocate for reduced air travel and to call for a societal discussion on necessary flights.
2020-10-31,Berlin,Berlin,OTHER_CLIMATE_GROUP,,"Protesters dressed as penguins block the stairs in Terminal 1 of the BER airport, holding banners with slogans such as 'Cool birds stay on the ground'."
2020-10-31,Berlin,Berlin,OTHER_CLIMATE_GROUP,,Four individuals from Extinction Rebellion temporarily block the departure of a plane by attaching themselves to the aircraft or the ground in front of the gangway.
2019-04-05,Bayern,München,FFF,1200.0,"Students in Munich continue to demonstrate for better climate protection, despite the rainy weather."
2020-05-31,Nordrhein-Westfalen,Datteln,FFF,100.0,"Protest against the start of operation of the Datteln 4 coal-fired power plant, calling for it to be shut down and criticizing the government's decision to initiate the coal phase-out with a new coal power plant; the protest was largely peaceful, but there were minor incidents of disorderly conduct and two activists were issued with eviction orders."
2019-02-28,Hamburg,Hamburg,FFF,3800.0,"Greta Thunberg demonstriert mit Tausenden in Hamburg - Greta Thunberg, together with thousands of students, protests for better climate policy in Hamburg, Germany. The protest involved skipping school and resulted in a debate about compulsory education. The police reported 3800 participants, while the organizers claimed there were 10,000."
2019-09-15,Hessen,Frankfurt,OTHER_CLIMATE_GROUP,1000.0,"Climate activists block the main entrance of the IAA in Frankfurt, demanding more climate protection and a rapid transition to sustainable transportation."
2019-05-24,Niedersachsen,Gifhorn,FFF,200.0,"Around 200 students participated in a large climate protest in the city center of Gifhorn, with a bike demonstration as the highlight of the event."
2019-11-29,Berlin,Berlin,FFF,600000.0,"Climate protest event in Berlin with 600,000 participants, organized by Fridays for Future, as part of the global climate strike ahead of the UN Climate Conference in Madrid, with a focus on criticizing excessive consumption on Black Friday."
2015-04-25,Nordrhein-Westfalen,Erkelenz,OTHER_CLIMATE_GROUP,,Thousands demonstrate for coal phase-out at the Garzweiler open-pit mine.
2023-01-08,Rheinland-Pfalz,Lützerath,FFF,1500.0,"Protest against the possible demolition of the village of Lützerath near the Garzweiler lignite mine, with a walk through the village, a concert by the band AnnenMayKantereit, and criticism of the government's climate policy."
2018-10-06,Nordrhein-Westfalen,Hambacher Forst,OTHER_CLIMATE_GROUP,50000.0,"Around 50,000 people celebrated the halt of deforestation in Hambacher Forst and protested for a coal phase-out, with festival-like atmosphere, speeches, and live music; some activists built new treehouses and around 100 activists entered the open-cast mine, causing a large excavator to be stopped by the energy company RWE."
2020-05-30,Nordrhein-Westfalen,Datteln,FFF,,"Protest against the start of operation of the Datteln 4 coal-fired power plant, with participation from Fridays for Future, Greenpeace, Ende Gelände, and BUND; peaceful protests with some confrontations with the police."
2019-06-24,Nordrhein-Westfalen,Rommerskirchen,OTHER_CLIMATE_GROUP,,"Climate activists trample carrot field - Farmer angry at 'Ende Gelände' protesters. A farmer in Rommerskirchen, Germany, expresses his anger on Twitter after climate activists trample through his carrot field during a protest against coal mining. The farmer criticizes the activists for their lack of respect for property and agriculture."
2019-01-19,Berlin,Berlin,OTHER_CLIMATE_GROUP,35000.0,"Tens of thousands of people in Berlin demand a shift towards more environmental and animal protection in agriculture under the motto 'We've had enough of agribusiness', with the protest being led by tractors and taking place during the Green Week food fair."
2020-09-25,Berlin,Berlin,FFF,21000.0,"Fridays for Future protest at Brandenburger Tor in Berlin with around 21,000 participants, demanding effective reduction of greenhouse gases, climate justice, and limiting global warming to 1.5 degrees Celsius; the protest was held despite the COVID-19 pandemic and bad weather; no confrontations with the police were reported."
2019-08-30,,New York,OTHER_CLIMATE_GROUP,100.0,"Greta Thunberg and a group of young people demonstrate for the climate in New York, calling for accountability from politicians."
2019-01-19,Berlin,Berlin,OTHER_CLIMATE_GROUP,35000.0,"Tens of thousands of people in Berlin demand a shift towards more environmental and animal protection in agriculture under the motto 'We've had enough of agribusiness', with a demonstration led by tractors through the government district during the Green Week food fair."
2020-02-04,Bayern,München,FFF,,"Protest by environmental activists in front of the Siemens headquarters in Munich, with a huge banner, against the company's involvement in a coal mining project in Australia; confrontations with the police occurred and Siemens CEO Joe Kaeser expressed frustration."
2020-01-13,Bayern,Erlangen,FFF,100.0,Around 100 activists from Fridays for Future (FFF) protested against Siemens and their decision to supply a coal mine in Australia.
2020-02-25,Nordrhein-Westfalen,Datteln,OTHER_CLIMATE_GROUP,,"Protest against the planned activation of the Datteln 4 power plant, with activists occupying parts of the facility and being removed by the police."
2021-06-18,Berlin,Berlin,FFF,200.0,"Fridays for Future protestieren für besseren Klimaschutz in Berlin-Kreuzberg mit einer Laufdemo, bei der mehrere hundert Menschen teilnahmen und Forderungen nach sozial gerechter Einhaltung der 1,5-Grad-Grenze bei der globalen Erwärmung sowie Klimaneutralität in Deutschland bis 2035 und in Berlin bis 2030 stellten."
2019-11-29,Nordrhein-Westfalen,Gütersloh,FFF,250.0,"250 Klimaschützer ziehen durch die Stadt in Gütersloh, um ihre Forderungen an die Öffentlichkeit zu tragen."
2015-06-04,Bayern,München,OTHER_CLIMATE_GROUP,30000.0,Several thousand people demonstrate against the G7 summit in Munich under the motto 'Stop TTIP - Save the Climate - Fight Poverty'.
2022-06-25,Bayern,München,OTHER_CLIMATE_GROUP,6000.0,"Protest against the policies of the G7 summit on hunger and climate change, with about 6000 participants calling for a different policy approach and an end to poverty, fossil fuel dependency, and the global hunger crisis."
2020-06-26,Brandenburg,Jänschwalde,Ende Gelände,,Protest against the planned coal law of the federal government and demand for the immediate shutdown of coal-fired power plants; activists climbed on the crane of an excavator and occupied it for hours.
2020-06-26,Nordrhein-Westfalen,Garzweiler,Einsatz Kohlestopp,,Protest against the planned coal law of the federal government and demand for the immediate shutdown of coal-fired power plants; activists occupied several excavators.
2020-06-26,Nordrhein-Westfalen,Garzweiler,Alle Dörfer bleiben,250.0,Protest against coal mining by RWE; 250 people formed a human chain to set a limit to coal mining.
2020-06-26,Nordrhein-Westfalen,Garzweiler,Einsatz Kohlestopp,80.0,Protest against the planned coal law of the federal government and demand for the immediate shutdown of coal-fired power plants; activists occupied six excavators.
2020-06-01,Nordrhein-Westfalen,Datteln,FFF,100.0,"Protest against the commissioning of the Datteln 4 coal-fired power plant, with activists from Fridays for Future, Greenpeace, Ende Gelände, and BUND demonstrating peacefully and former miners also participating; minor confrontations with the police reported."
2019-01-19,Berlin,Berlin,OTHER_CLIMATE_GROUP,35000.0,"Tens of thousands of people in Berlin demand a shift towards more environmental and animal protection in agriculture under the motto 'We've had enough of agribusiness', with a protest march through the government district led by tractors."
2019-06-04,Berlin,Berlin,FFF,,"Protestaktion von Fridays For Future im Bundestag: Jugendliche stellen sich tot, um Druck auf die Bundesregierung wegen der Klimapolitik auszuüben."
2019-09-15,Hessen,Frankfurt,OTHER_CLIMATE_GROUP,1000.0,"Climate activists block the main entrance of the IAA (International Motor Show) in Frankfurt, demanding more climate protection and a rapid transition to sustainable transportation."
2020-01-18,Berlin,Berlin,OTHER_CLIMATE_GROUP,27000.0,"Thousands of people in Berlin protest for a more environmentally friendly agriculture, demanding the abolition of factory farming, protection of insects, and better animal welfare standards."
2019-09-15,Hessen,Frankfurt am Main,OTHER_CLIMATE_GROUP,1000.0,"Protest against the International Motor Show (IAA) in Frankfurt, with activists blocking the entrance to the fair, holding banners and chanting slogans, as part of a larger movement demanding a shift towards sustainable transportation and a reduction in car usage."
2019-09-20,Hessen,Frankfurt am Main,OTHER_CLIMATE_GROUP,25000.0,"Mass protest in Frankfurt, with thousands of people participating in a bike rally to demand a car-free city center and to raise awareness about the climate crisis and the need for a transition to sustainable transportation."
2022-08-12,Niedersachsen,Wilhelmshaven,Ende Gelände,300.0,"Climate protest against the planned LNG terminal in Wilhelmshaven, with activists occupying the construction site and engaging in acts of civil disobedience."
2020-08-14,Nordrhein-Westfalen,Datteln,BUND,,"Climate activists protest against the controversial coal-fired power plant Datteln 4 in North Rhine-Westphalia, Germany, by canoeing on the Dortmund-Ems Canal and holding a vigil."
2020-08-14,Berlin,Berlin,BUND,,"The environmental organization BUND hands over a list with over 40,000 signatures to the Finnish embassy in Berlin, urging Finland's Prime Minister to advocate for a quick shutdown of the Datteln 4 power plant."
2020-08-14,Bayern,Helsinki,Extinction Rebellion,,"Activists from the Extinction Rebellion movement temporarily block a road in front of the parliament in Helsinki, Finland, and demonstrate in front of the headquarters of the Finnish energy company Fortum in Espoo."
2020-06-26,Brandenburg,Jänschwalde,Ende Gelände,,Protest against the planned coal law of the federal government and demand for the immediate shutdown of coal-fired power plants; activists climbed on the crane of an excavator and occupied it for hours.
2020-06-26,Nordrhein-Westfalen,Garzweiler,Einsatz Kohlestopp,,Protest against the planned coal law of the federal government and demand for the immediate shutdown of coal-fired power plants; activists occupied several excavators.
2020-06-26,Nordrhein-Westfalen,Garzweiler,Alle Dörfer bleiben,250.0,Protest against coal mining by RWE; 250 people formed a human chain to set a limit to coal mining.
2020-06-26,Nordrhein-Westfalen,Garzweiler,Einsatz Kohlestopp,80.0,Protest against the planned coal law of the federal government and demand for the immediate shutdown of coal-fired power plants; activists occupied six excavators.
2020-02-02,Nordrhein-Westfalen,Datteln,Ende Gelände,100.0,"Climate activists occupied the grounds of the Datteln coal-fired power plant in North Rhine-Westphalia, calling for a quick coal phase-out; more than 100 people entered the plant and occupied parts of the facility, resulting in confrontations with the police."
2019-10-12,Thüringen,Erfurt,ALG,500.0,"Hundreds of protesters in Erfurt for climate protection and justice, organized by the alliance 'Alles muss man selber machen' (Everything you have to do yourself), with flags and slogans against racism and for climate protection, expressing solidarity with the Jewish community and protesting against increased right-wing tendencies in society."
2020-07-20,Nordrhein-Westfalen,Erkelenz,OTHER_CLIMATE_GROUP,50.0,"Protest against the demolition of a road for the Garzweiler lignite mine, with a man temporarily occupying a demolition excavator and up to 50 protesters sitting on the road in protest throughout the day."
2021-09-10,Bayern,München,OTHER_CLIMATE_GROUP,,"Proteste gegen IAA in München: Polizei setzt Schlagstöcke und Pfefferspray ein - Startseite - idowa. Proteste gegen die Internationale Automobil-Ausstellung (IAA) in München, bei denen es zu Konfrontationen mit der Polizei kam. Aktivisten blockierten Autobahnen, es gab Schmierereien am Haus des VW-Chefs und Klimaaktivisten kritisierten das Vorgehen der Polizei."
2022-08-15,Hamburg,Hamburg,OTHER_CLIMATE_GROUP,,"Left-wing climate activists block train tracks and glue themselves to the Köhlbrand Bridge in Hamburg, resulting in clashes with the police who used pepper spray and batons; activists complain about excessive police violence."
2019-06-28,Niedersachsen,Osterholz-Scharmbeck,FFF,400.0,"Fridays-for-Future protest in Osterholz-Scharmbeck with hundreds of students demanding immediate coal phase-out and other climate actions, with no confrontations with the police reported."
2020-10-31,Berlin,Berlin,XR,250.0,"Protest against the opening of the new Berlin Brandenburg Airport (BER) by environmental groups, including Extinction Rebellion (XR), with activists attempting to prevent the departure of a plane and displaying signs criticizing the aviation industry; confrontations with the police occurred, with activists gluing themselves to the plane and blocking stairs in the terminal."
2018-01-20,Berlin,Berlin,OTHER_CLIMATE_GROUP,30000.0,"Thousands of farmers and environmental activists demonstrated in Berlin under the motto 'We've had enough!' to demand a change in agricultural policy, calling for a ban on the herbicide glyphosate, the prohibition of reserve antibiotics, more funding for the transformation of animal husbandry, and fair market rules to protect farms."
2020-09-25,Bayern,Forchheim,FFF,150.0,"Fridays For Future protest in Forchheim with around 150 participants calling for action on climate change, including speeches from local leaders and representatives from 'Omas For Future'."
2021-05-12,Berlin,Berlin,FFF,200.0,"Fridays for Future protest at the Federal Chancellery in Berlin against the lack of action in the fight against climate change, calling for Germany to be climate neutral by 2035."
2020-01-18,Berlin,Berlin,OTHER_CLIMATE_GROUP,27000.0,"27,000 people protest for more ecology in agriculture in Berlin, calling for a change in agricultural policy and support for ecological farms."
2022-12-15,Berlin,Berlin,OTHER_CLIMATE_GROUP,,"Climate activists from the 'Letzte Generation' blocked entrances to office buildings of the Bundestag in Berlin to confront politicians about climate policy. Some activists glued themselves to the street. Police removed the peaceful protesters after one to two hours. Two activists tried to confront arriving politicians at the Reichstag building, with CDU leader Friedrich Merz telling them to leave and pushing one of them. Former Bundestag President Wolfgang Schäuble ignored the activists, while Interior Minister Nancy Faeser assured them that politics is doing a lot to combat climate change."
2021-06-12,Sachsen,Leipzig,XR,1.0,"Lena, a 20-year-old climate activist, staged a protest by sitting on a busy street in Leipzig, holding a sign that said 'A world two degrees warmer means the death penalty for countries like mine'. She was part of a protest organized by Extinction Rebellion under the motto 'Rebellion of One'. The police ended the one-person demonstration and took her personal information."
2021-06-12,Sachsen,Leipzig,XR,1.0,"Another young woman staged a solo protest on a busy street in Leipzig, holding a sign that said 'I am afraid of resource wars'. This action was also quickly stopped."
2019-11-28,Nordrhein-Westfalen,Münster,FFF,7500.0,"7500 people protest for a more consistent climate policy in Münster, organized by Fridays for Future, with a larger turnout than expected."
