"id","newspaper","labels","year","excerpt"
1093,"Stuttgarter Zeitung","relevant",2010,"Stuttgarter Zeitung 2010-04-01 Der lange Marsch durch fünf Jahrzehnte Im Frühjahr 1962, es war das zweite Mal, dass sie an einem Ostermarsch teilnahm, hat Roswitha Ehinger eine schmerzhafte Erfahrung machen müssen: hübsch angezogen marschiert es sich schlecht für eine friedlichere Welt. Sogar in London war sie dabei. Vor allem in den ersten Jahren seien die mehrtägigen Demonstrationszüge über Wiesen und Felder, bei Regen und Sonnenschein auch ein Ereignis gewesen. ""Es hätte einem etwas gefehlt, wenn man nicht dabei gewesen wäre"", sagt sie. Der erste Ostermarsch in Deutschland hat bereits 1960, ein Jahr bevor Roswitha Ehinger zu der Bewegung stieß, im niedersächsischen Celle stattgefunden. An dem Protestmarsch ""gegen die atomare Aufrüstung der Welt"" nahmen vor 50 Jahren mit 500 Menschen vergleichsweise wenige teil. Doch schnell wuchs die Bewegung. 1963 waren es bundesweit rund 50 000 Demonstranten, 1968 protestierten allein in Westberlin 300 000 Menschen für den Frieden, Abrüstung und gegen den Vietnamkrieg. Ihren Höhepunkt erlebte die Bewegung in den 80er Jahren im Zuge des Nato-Doppelbeschlusses. Auch in Stuttgart waren amerikanische Einrichtungen immer wieder Anlaufpunkte. Bei einem Ostermarsch von 1968, erinnert sie sich, holte ein Aktivist sogar die Flagge von dem damaligen Konsulat in der Urbanstraße. ""Das hat Rabatz gegeben."" Seit zehn Jahren ist Roswitha Ehinger erneut regelmäßig bei den Ostermärschen. Auch am Karsamstag ist es für sie selbstverständlich, gegen den Krieg in Afghanistan zu demonstrieren (siehe ""Start am Deserteurdenkmal""). ""Ich bin weiterhin überzeugt, dass eine friedliche und gerechtere Welt möglich ist"", sagt sie. Von Viola Volland  Rowitha Ehinger bei einem Ostermarsch von Karlsruhe nach Mannheim  Roswitha Ehinger hat die alten Ostermarschplakate aus den 60er Jahren aufbewahrt. Auch jetzt noch ist die Stuttgarterin bei den Demonstrationen dabei. Fotos/Repros: Michael Steinert Die Polizei bewacht beim Ostermarsch 1969 das amerikanische Konsulat, das damals noch in der Urbanstraße ansässig war."
1094,"Leipziger Volkszeitung","irrelevant",2015,"Textilrecycling, Nacktradeln, Brotaufstriche; Umwelttage: Veranstaltungen an diesem Wochenende Bereits zum 19. Sie knüpfen an den Weltumwelttag an und rücken noch bis zum 14. Juni aktuelle Themen des Natur- und Umweltschutzes in den Fokus. Hier gibt es Workshops und Exkursionen, Diskussionen und Filme, Führungen und vieles mehr - angeboten von gemeinnützigen Vereinen, Bürgerinitiativen, Ämtern und Unternehmen. Veranstaltungen am 6. Juni Textilrecycling-Workshop ""Entwirf und nähe dein Stofftier!"
1095,"Leipziger Volkszeitung","irrelevant",2015,"Machtpoker und Bärendienste in Torgau; Erste Nationale Sonderausstellung ""Luther und die Fürsten"" zum 500. Artgenossen der beiden Braunbären erweisen der Kreisstadt Torgau an der Elbe nämlich schon seit mehr als 550 Jahren im Hartenfelser Schlossgraben einen Bärendienst. Womit der Ort ihrer Gefangenschaft nicht minder authentisch sein dürfte als die 1544 vom Reformator Martin Luther (1483-1546) geweihte Schlosskapelle gleich dahinter, der erste protestantische Kirchenneubau überhaupt. Schon zwei von vielen guten Gründen, die erste Nationale Sonderausstellung zum 500."
1096,"Stuttgarter Zeitung","relevant",2009,"Stuttgarter Zeitung 2009-12-08 Protest im Zeichen der Entscheidung Gestern haben erneut mehrere Hundert Menschen vor dem Nordflügel des Stuttgarter Hauptbahnhofs gegen das umstrittene Bahnprojekt Stuttgart 21 demonstriert. Während die Veranstalter die Teilnehmerzahl auf etwa 2500 schätzte, sprach die Polizei von rund 1500 Demonstranten. Die eigentliche Kundgebung, die wegen des erwarteten Andrangs diesmal auf den Kurt-Georg-Kiesinger-Platz verlegt worden war, stand im Zeichen der Mitte der Woche bevorstehenden Entscheidungen über das milliardenschwere Vorhaben. SÖS-Stadtrat Gangolf Stocker, Organisator der Kundgebung, rief die Projektgegner dazu auf, in ihrem Widerstand nicht nachzulassen. Mehrere Umbauabschnitte von Stuttgart 21 sowie die geplante ICE-Neubaustrecke nach Ulm seien noch gar nicht planfestgestellt. Matthias Roser, Denkmalschützer und Sprecher der Arbeitsgemeinschaft Hauptbahnhof Stuttgart, räumte zwar ein, dass das Projekt parlamentarisch legitimiert sei: ""Aber demokratisch ist es deshalb noch lange nicht"", so Roser unter dem Beifall der Demonstranten. Er appellierte an Nochregierungschef Günther Oettinger sowie Stuttgarts Oberbürgermeister Wolfgang Schuster (beide CDU), die Notbremse zu ziehen und ""vom Zug Stuttgart 21 abzuspringen"". Dass dem Aktionsbündnis gegen Stuttgart 21 inzwischen der Kampf gegen das umstrittene Projekt zumindest finanziell immer schwerer fällt, machte Gangolf Stockers Bitte um Spenden deutlich: ""Wir sind tief in den roten Zahlen."" Bildergalerie zur Montagsdemo www.stuttgarter-zeitung.de/foto Von Thomas Braun  Demonstranten plädieren im strömenden Regen für den Kopfbahnhof. Foto: Michael Steinert"
1098,"Leipziger Volkszeitung","relevant",2015,"LEIPZV0020150616eb6g00017 Leipziger Volkszeitung 16 Juni 2015 Pegida-Demonstranten greifen Redakteur an Dresden. Während der Pegida-Demonstration am gestrigen Abend, an der sich nach Polizei-Angaben rund 1600 Menschen in Dresden beteiligten, wurden eine Gruppe von zehn Gegendemonstranten und ein Reporter der DNN, einem Tochterunternehmen der LVZ, angegriffen. Die Attacke begann in der Nähe des Schlossplatzes. Gegendemonstranten hatten sich mit ihren Fahrrädern am Rand der Pegida-Kundgebung versammelt und laut geklingelt, um die Redebeiträge zu stören. Darauf wurden sie von mehreren Pegida-Ordnern umzingelt und von Teilnehmern des Pegida-Treffens gefilmt und beleidigt. Als sich der Demonstrationszug nach der Kundgebung in Richtung Augustusbrücke bewegte, wurden die Radfahrer eingeschlossen, geschubst und an einem zügigen Verlassen der Menschenmenge gehindert. Unser Reporter wollte die Situation fotografieren."
1099,"Leipziger Volkszeitung","irrelevant",2015,"Kurz gemeldet & Termin Zeit- und Jahresverträge werden abgeschlossen Delitzsch. Die Sitzung ist öffentlich. Zudem geht es um die Beschlussempfehlung für die Verbandsversammlung des Abwasserzweckverbandes Unteres Leinetal. Diese tagt morgen Abend öffentlich ab 19 Uhr im Versammlungsraum der Löbnitzer Feuerwehr. Spenden für Kita und Feuerwehr Krostitz."
1101,"Leipziger Volkszeitung","relevant",2015,"4000 Polizisten bei Legida - Größter Polizeieinsatz in Leipzigs Geschichte Wechsel vom Tisch: Daniel Frahn bleibt RB Leipzig erhalten Massenhafte Handysicherstellung: Demo-Teilnehmer wehren sich Proteste: 5000 Menschen laufen für weltoffenes Leipzig über den Ring Regeln für Umweltzone in Leipzig werden verschärft Stand: Gestern 20 Uhr"
1105,"Leipziger Volkszeitung","irrelevant",2015,"Rangnick warnt vor Osnabrück; RB-Chef-Heiler Sekora verlängert Vertrag bis 2018 / Stuttgart-Test findet nicht statt Von Guido Schäfer Leipzig. Nahezu wahr: RB hat die Stuttgarter Kickers gebeten, den 1.-Juli-Test zu verschieben. Ziemlich wahr: Die Kickers-Bosse zogen wegen Fan-Protesten den, nun ja, Schal ein. Osnabrück ist ein heißes Pflaster, RB bekam es 2013 in Liga drei zu spüren: Hier fällt das 3:2, Keeper Fabio Coltorti kann das VfL-Siegtor nicht verhindern."
1107,"Stuttgarter Zeitung","relevant",2013,"Stuttgarter Zeitung 2013-04-20 Flugausfälle wegen Streik bei Lufthansa; Flughafen Die Gewerkschaft Verdi hat das Bodenpersonal der Lufthansa am Montag zu einem ganztägigen Warnstreik aufgerufen. Auch am Flughafen Stuttgart müssen sich Passagiere auf Flugausfälle und Verspätungen einstellen. Auf der Internetseite www.lufthansa.com veröffentlicht die Fluggesellschaft, welche Flüge eventuell gestrichen werden. 'Wie viele Flüge durchgeführt und wie viele Passagiere in Folge des Streiks abgefertigt werden können, ist derzeit noch nicht abzusehen', heißt es in einer Mitteilung des Flughafens. Für Montag seien 28 Flugbewegungen der Lufthansa geplant. Es ist bereits die zweite Welle von Arbeitsniederlegungen in dem Tarifkonflikt um Entgelte und Arbeitsbedingungen von rund 33 000 Technikern und Serviceleuten. Am 21. März waren bei einem kürzeren Warnstreik bundesweit 700 Flüge ausgefallen.Das Unternehmen erwartet einen zweistelligen Millionenschaden. 'Die Ankündigung ist wie ein Vollstreik zu bewerten. Die Grenzen eines Warnstreiks sind damit deutlich überschritten', sagte Lufthansa-Sprecher Andreas Bartels. Verdi fordert Jobgarantien und 5,2 Prozent mehr Geld für die Beschäftigten."
1109,"Stuttgarter Zeitung","relevant",2010,"Stuttgarter Zeitung 2010-08-20 Unmittelbarer Zwang kann wehtun Von Thomas Braun und Jörg Nauke  Der Protest gegen Stuttgart 21 ist gestern weitergegangen. Am Abend formierte sich ein Demonstrationszug mit etwa 4000 Teilnehmern, der friedlich das Bahngelände umrundete. In der Nacht zum Donnerstag und gestern Morgen hatten einige Hundert Polizisten am Nordflügel des Hauptbahnhofs dafür gesorgt, dass schweres Baugerät angeliefert werden konnte. Polizeipressesprecher Olef Petersen sagte, derlei Techniken seien bei der Anwendung ""unmittelbaren Zwangs"" üblich und verhältnismäßig. Die Demonstranten sollten wissen, dass das Sichwegtragenlassen wehtun könne; vor allem, wenn sich Demonstranten widersetzten. Laut Petersen sind zwei Polizisten bei dem Einsatz verletzt worden."
1110,"Stuttgarter Zeitung","relevant",2011,"Stuttgarter Zeitung 2011-05-02 Aus dem Bauchladen der politischen Bewegungen Es ist der Tag der Arbeit, 10 Uhr, Karlsplatz. Teresa Gagliardi und ihre Helfer stehen schon hinter dem Grill und wenden rote Würste. In einer Stunde erwarten sie den Demonstrationszug, zu dem der Deutsche Gewerkschaftsbund (DGB) geladen hat. Die Gewerkschaften fordern faire Löhne, gute Arbeit und soziale Sicherheit. Gefordert wird die Abschaffung der Nato, ein Baustopp für Stuttgart 21, das Ende von Hartz IV oder auch Freiheit für die Tamilen in Sri Lanka. Die Vielfalt spiegelt sich später auch bei der Kundgebung, wo Bernd Riexinger sich dafür einsetzt, dass der Staat lieber in Bildung statt in große Infrastrukturprojekte investieren solle. Auch Jörg Hofmann, der Bezirksleiter der IG Metall, plädiert erst für einen Ausstieg aus der Atomenergie, bevor er auf die Beschäftigungsverhältnisse im Land zu sprechen kommt. Auch Ayhan Aydin wünscht sich mehr Mitsprache in dem Unternehmen, in dem er arbeitet. Der Kurde ist seit 30 Jahren beim Tag der Arbeit dabei, Gründe zu protestieren, gebe es jedes Jahr mehr: ""Wir haben keinen Betriebsrat in der Firma, machen immer mehr Überstunden und dann wird auch noch das Weihnachtsgeld gestrichen"", erzählt der gelernte Bauschlosser. Zudem verweist Aydin auf seine Herkunft: ""Als Kurde in der Türkei muss man zu einem politischen Menschen werden."""
1111,"Stuttgarter Zeitung","irrelevant",2009,"Stuttgarter Zeitung 2009-02-25 POLIZEIBERICHT Farbschmierer ertappt  S-NORD. Polizeibeamte haben am Montag gegen 18.45 Uhr zwei mutmaßliche Graffiti-Sprüher im Alter von 16 Jahren vorläufig festgenommen. Nach einem Zeugenhinweis fuhren die Beamten in den Höhenpark Killesberg und entdeckten die beiden Jungen, die sich zunächst in der Nähe einer öffentlichen Toilette versteckten. Mit einer Sprühdose hatten sie zuvor offensichtlich Rollläden, Fensterscheiben und die Seitenwand einer Gaststätte sowie mehrere Bodenscheinwerfer mit roter Farbe besprüht. Der Sachschaden beläuft sich auf mehrere Tausend Euro. Die 16-Jährigen wurden ihren Eltern übergeben und werden wegen Sachbeschädigung angezeigt. Außerdem müssen sie mit Schadensersatzforderungen rechnen.  Unfallflucht auf Pragkreuzung  S-NORD. Die Polizei sucht Zeugen eines Unfalls mit Fahrerflucht, der sich am Montag gegen 11.30 Uhr auf dem Pragsattel ereignet hat. Bei dem Unfall war eine 29 Jahre alte Mercedes-Fahrerin leicht verletzt worden, als sie trotz Vollbremsung auf den BMW vor ihr auffuhr. Der Fahrer des BMW, der aus Richtung Zuffenhausen auf der Heilbronner Straße in die Kreuzung Pragsattel unterwegs war, musste wegen eines aus der Stresemannstraße einbiegenden Opel Kombi bremsen. Der oder die Fahrerin des Opels war vermutlich bei Rot in die Kreuzung eingebogen und fuhr anschließend weiter, ohne sich um die Folgen zu kümmern. Hinweise nimmt die Verkehrspolizei unter der Telefonnummer 89 90-51 00 entgegen.  Laptops gestohlen  STUTTGART. In der Nacht zum Dienstag haben unbekannte Täter insgesamt drei Einbrüche im Stadtgebiet verübt. In Feuerbach kletterten die Diebe auf das Dach eines Jugendhauses an der Wiener Straße. Sie schlugen eine Fensterscheibe ein und stiegen in den Computerraum. Anschließend flüchteten sie mit fünf Laptops im Wert von mehreren Tausend Euro. In einem anderen Fall verschafften sich unbekannte Täter Zutritt zu einem Grundstück an der Burgholzstraße. Die Eindringlinge schnitten ein Loch in einen Maschendrahtzaun und brachen ein Tor auf, um auf das Gelände des benachbarten Wertstoffhofs zu gelangen. Dort hebelten sie das Fenster eines Containers auf und erbeuteten einen Tresor, in dem sich mehrere Hundert Euro Bargeld befanden. An der Eckartstraße hat ein Einbrecher die Tür einer Werkstatt aufgebrochen. Er flüchtete ohne Beute. Der Sachschaden liegt bei rund 500 Euro. Trickbetrüger unterwegs  S-WEST. Ein unbekannter Täter hat sich am Montag in der Ludwigstraße an der Wohnungstür einer 79-jährigen Frau als Mitarbeiter einer Telekommunikationsfirma ausgegeben und behauptet, er könne gegen Bezahlung eines Einmalbetrags einen günstigeren Telefontarif anbieten. Der Mann klingelte um 14.20 Uhr an der Haustür der Seniorin und gelangte mit der Betrugsmasche in deren Wohnung. Die 79-Jährige bezahlte den geforderten Geldbetrag in Höhe von 60 Euro und erhielt im Gegenzug ein Formular, das sie unterschrieb. Anschließend verließ der Mann die Wohnung. Als sich die Rentnerin bei dem Telekommunikationsunternehmen erkundigte, erhielt sie die Auskunft, dass der angebliche Mitarbeiter nicht von der Firma beauftragt worden war. Der Gesuchte ist etwa 50 Jahre alt und 1,80 Meter groß. Er hat glatte, schwarze Haare und einen Dreitagebart. Er sprach deutsch mit osteuropäischem Akzent. Bekleidet war er mit einem karierten Pullover und einer dunklen Jacke. Hinweise nimmt die Polizei unter der Telefonnummer 89 90-33 00 entgegen.  Diebe steigen über Keller ein  S-OST/S-MITTE. In den vergangenen Wochen sind der Polizei mehrere Einbrüche in Kellerräume im Stuttgarter Osten und in der Innenstadt gemeldet worden. Die Polizei geht von drei Tätern aus, die Kleinelektrogeräte sowie Alkoholika im Wert von mehreren Tausend Euro gestohlen haben. Die Männer verschafften sich Zugang zu Kellergeschossen von Mehrfamilienhäusern und hebelten Türen oder Lattenverschläge auf. Sie packten die Beute in mitgebrachte Taschen. Nach Zeugenaussagen ist einer der Täter zwischen 40 und 50 Jahre alt, 1,80 Meter groß und kräftig. Der Zweite ist zwischen 27 und 35 Jahre alt und 1,70 Meter groß. Er hat einen Bauchansatz und eine rundliche Figur. Der dritte Einbrecher ist 1,75 Meter groß und schmächtig. Hinweise nimmt die Polizei unter der Telefonnummer 89 90-32 00 entgegen. kek "
1115,"Stuttgarter Zeitung","relevant",2012,"Stuttgarter Zeitung 2012-07-06 Das Urteil ist vorerst vertagt Ein 22-Jähriger aus der rechten ­Szene soll vor etwas mehr als einem Jahr in Leonberg (Kreis Böblingen) einem Jugendlichen aus dem linken Lager mit einer ­Gaspistole ins Gesicht geschossen haben. Der Prozess wird am Donnerstag, 26. Juli, fortgesetzt. Die Polizei zeigt beim Prozess gegen einen Rechtsextremen große Präsenz, vor allem, weil linke Demonstranten vor dem Gerichtsgebäude protestieren. Foto:factum/Weise"
1117,"Weser Kurier","irrelevant",2015,"Bremer   Technik soll Einbrecher abschrecken Anwohner am Lehester Deich wollen   sich vor Dieben schützen und beteiligen sich an Polizei-Projekt VON   CHRISTIANE MESTER Lehesterdeich·Borgfeld. Deshalb leisteten auch die Kontaktbeamten   wichtige Arbeit. 200 Bürgerinitiativen gebe es derzeit in   Bremen. Die seien jedoch nicht zu verwechseln mit dem, was gemeinhin   unter einer Bürgerwehr verstanden werde - das zu betonen, ist Reimann   wichtig."
1118,"Leipziger Volkszeitung","relevant",2015,"LEIPZV0020151214ebce0002j Leipziger Volkszeitung 14 Dezember 2015 BUND-Demo fordert Kohleausstieg Knapp zwei Dutzend Aktivisten des Bundes für Umwelt und Naturschutz Deutschland (BUND) haben am Sonnabend in Leipzig gegen den aus ihrer Sicht auf der Weltklimakonferenz in Paris ausgehandelten schwachen Weltklimavertrag protestiert und zugleich den Kohleausstieg gefordert. ""Investitionen in Unternehmen, die fossile Energieträger fördern, vertreiben oder verarbeiten, muss Leipzig beenden"", erklärte der hiesige BUND-Chef Martin Hilbrecht auf der Alten Messe."
1120,"Stuttgarter Zeitung","relevant",2011,"Stuttgarter Zeitung 2011-02-28 Der Protest führt jetzt nach Karlsruhe Atomkraft, nein danke"" - der Ruf will nicht verstummen. Am Samstag haben Kernkraftgegner in 40 deutschen Städten demonstriert, auch in Stuttgart, Heidelberg und Berlin. Die Protestwelle scheint jedoch zu verebben. Alles in allem waren nur 8000 Demonstranten auf den Straßen. Dennoch schöpfen die Kritiker verlängerter Laufzeiten für Atomkraftwerke neue Hoffnung. Die Laufzeiten sollen auf modernere Anlagen übertragen werden. Von Armin Käfer  Ein Atomkraftgegner bei einer Menschenkette am Samstag in Berlin: Demonstranten marschierten von der Hauptstadtzentrale von EnBW zun den Büros von Eon. Es war der Auftakt für eine am 12. März geplante Großdemonstration in Baden-Württemberg. Foto: dpa"
1122,"Stuttgarter Zeitung","relevant",2010,"Stuttgarter Zeitung 2010-02-03 Projektgegner wollen Widerstand nicht aufgeben Von Jörg Nauke und Thomas Braun  Nach mehr als 16-jähriger Planung ist gestern um 14.09 Uhr der Baustart für den Umbau des Bahnknotens Stuttgart erfolgt. Der Bundesverkehrsminister Peter Ramsauer (CSU), Ministerpräsident Günther Oettinger, Regionaldirektorin Jeanette Wopperer, Stuttgarts OB Wolfgang Schuster (alle CDU) sowie der Vorstandsvorsitzende der Deutschen Bahn AG, Rüdiger Grube, haben am Ende des Festakts mit technischer Unterstützung den Prellbock 049 angehoben. Obwohl dieses symbolträchtige Schauspiel - für die rund 400 Gäste in die Kleine Schalterhalle im Bonatzbau übertragen - weit draußen auf dem Gleisvorfeld aufgeführt wurde, waren die Verantwortlichen für Stuttgart 21 nicht allein: Während Dutzende von Kameraleuten und Fotografen die Szenerie festhielten, skandierten auf dem Parallelbahnsteig die Projektkritiker lautstark ""Lügenpack"". 350 Polizisten waren im Einsatz, dazu der bahneigene Sicherheitsdienst, um die rund 2000 Bürger in Schach zu halten, die vor dem Nordausgang und in der abgesperrten Bahnhofshalle mit Transparenten und Trillerpfeifen gegen die ""Endstation Wahnhof"" demonstrierten. Vereinzelt sollen Eier und Schneebälle geflogen sein, die aber ihr Ziel verfehlten. ""Nach unendlichen Diskussionen stellen wir heute die Signale auf Grün."" Wie schon am vergangenen Freitag, als er den Demonstranten vor dem Bahnhof einen Dialog anbot, räumte er auch gestern Fehler in der Vergangenheit ein und versprach Besserung. Er verspreche, ""sich persönlich um das Projekt zu kümmern und nichts zu verstecken"". So lange sei es billiger aufzuhören als weiterzumachen. Er erinnert an die Bürgerproteste wegen Baumfällungen in Freiburg: Am Ende habe zwar die Rodung gestanden - ""aber die Stadt hatte einen grünen OB"". Der Prellbock schwebt, und der Bundesverkehrsminister Peter Ramsauer (links) darf das Großprojekt auf die Schiene bringen. Die Umweltaktivisten von Robin Wood halten Stuttgart 21 dagegen für ""den neuen Scherz Europas"". Fotos: ddp, Steinert, Zweygarth (2) OB Schuster hat Pfiffe geerntet, für den Tübinger Amtskollegen Boris Palmer ist der Auftritt im Bahnhof dagegen ein Heimspiel gewesen."
1126,"Stuttgarter Zeitung","relevant",2011,"Stuttgarter Zeitung 2011-02-03 Der Machtkampf in Ägypten eskaliert Blutende Demonstranten, Steinehagel, Brandsätze, weinende Menschen: in Ägypten regiert das Chaos. Die Lage in der Hauptstadt Kairo ist am Mittwoch außer Kontrolle geraten. Auf dem Tahrir-Platz im Zentrum der Millionenstadt prügelten Tausende Anhänger und Gegner von Staatschef Hosni Mubarak wild aufeinander ein, es flogen Steine, Flaschen und später sogar Molotowcocktails. Etwa 3000 Mubarak-Anhänger hatten zuvor teilweise auf Pferden und Kamelen den Platz gestürmt und die rund 10 000 oppositionellen Demonstranten angegriffen. Mindestens drei Tote und mehr als 1500 Verletzte, lautet die Bilanz der Übergriffe, berichtete der arabische Sender Al-Dschasira am späten Abend. Damit hat der seit einer Woche andauernde Aufstand eine neue Dimension erreicht. Am Rande des Platzes, in der Nähe des weltberühmten Ägyptischen Museums, warfen Anhänger Mubaraks von Dächern aus Steine und Brandsätze auf die Menschenmasse unter ihnen. Blutverschmierte Regierungsgegner wurden in eilends eingerichtete Kliniken in Moscheen und Alleen eingeliefert. Einige baten die aufmarschierten Soldaten um Schutz. Doch die feuerten lediglich einige Warnschüsse in die Luft. Dieser äußerte sich ebenfalls besorgt über die Situation in Kairo. Westerwelle verurteilte die zunehmende Gewalt und erklärte: ""Ich fordere die Sicherheitsbehörden in Ägypten auf, keine Gewalt gegen Demonstranten anzuwenden."" Eine Niederschlagung der Proteste sei für Deutschland und die internationale Staatengemeinschaft nicht akzeptabel. Der Nahostexperte Michael Lüders sieht in den Demonstrationen historische Parallelen zum Geschehen 1989 in Leipzig. ""Zum ersten Mal seit der Unabhängigkeit der arabischen Staaten nach dem Zweiten Weltkrieg spüren alle arabischen Völker, dass sie die Chance auf Freiheit haben"", sagte Lüders der - Chaos und Gewalt in Ägypten SEITE 2 - Mubarak als schwerer Ballast SEITE 8 - Die Revolution und das Internet SEITE 30 Aktuelle Infos zur Lage in Ägypten unter www.stuttgarter-zeitung.de/aegypten"
1129,"Stuttgarter Zeitung","relevant",2010,"Stuttgarter Zeitung 2010-10-26 Amnesty fasst nach; Polizeieinsatz Die Menschenrechtsorganisation Amnesty International beklagt, dass nach den gewalttätigen Auseinandersetzungen während einer Demonstration gegen das Bahnprojekt Stuttgart 21 kaum gegen Polizeibeamte ermittelt werde. Obwohl mehr als hundert Menschen verletzt worden seien, gebe es offenbar nur ein Ermittlungsverfahren, sagte Generalsekretärin Monika Lüke laut einer Vorabmeldung der in Berlin erscheinenden ""Tageszeitung"". Sie kündigte an, dass ihre Organisation die Vorwürfe gegen die Polizei selbst weiter recherchiere. Bisher wurden nach Amnesty-Angaben 63 Seiten an Augenzeugenberichten zu der Demonstration in Stuttgart zusammengetragen. Bei dem Polizeieinsatz am 30. September mit Wasserwerfern, Schlagstöcken und Pfefferspray waren nach Behördenangaben 130 Demonstranten und sechs Polizisten verletzt worden. Die Staatsanwaltschaft Stuttgart erklärt, dass rund 300 Anzeigen eingegangen seien, aber nur wenige gegen namentlich bekannte Polizisten."
1137,"Leipziger Volkszeitung","relevant",2015,"Islamkritische Bündnisse wollen wieder auf der Straße demonstrieren Dresden. Die islamkritische Pegida-Bewegung in Dresden will trotz schwindender Anhängerschaft auch heute Abend wieder auf die Straße gehen. Ableger der Gruppierung kündigten weitere Demonstrationen in Berlin, Stralsund und Magdeburg an. In Nürnberg will ein Bündnis namens Nügida erstmals demonstrieren. In Leipzig soll Legida nach Vorgaben der Stadt nur eine Kundgebung auf einem Platz abhalten und nicht wie gewünscht durch die Stadt marschieren dürfen. Dagegen gingen die Organisatoren nach eigenen Angaben inzwischen gerichtlich vor. Die im vergangenen Oktober in Dresden entstandene Pegida-Bewegung hatte sich Ende Januar in der Elbestadt gespalten und einen Rechtsruck vollzogen. Seither sank die Bereitschaft zur Teilnahme an den wöchentlichen Kundgebungen. NA"
1138,"Leipziger Volkszeitung","irrelevant",2015,"Druck auf Gabriel steigt: Minister muss bei Braunkohle-Abgabe nachbessern; Spitzentreffen im Kanzleramt bringt Bewegung in Streit / Vattenfall legt Spartenverkauf auf Eis Von FRank Johannsen und Jürgen Kochinke Berlin/Dresden. Der vereinte Protest von Unternehmen, Gewerkschaften und Braunkohle-Ländern zeigt Wirkung: Im Streit um die geplante Klima-Abgabe für Altkraftwerke will Bundeswirtschaftsminister Sigmar Gabriel (SPD) nun nachbessern - und den Unternehmen deutlich entgegenkommen. Gestern präsentierte er seine neuen Pläne der Kanzlerin, heute wird er sie direkt mit Betroffenen diskutieren können."
1141,"Stuttgarter Zeitung","relevant",2011,"Stuttgarter Zeitung 2011-08-10 Das Chaos in letzter Minute abgewendet Von Matthias Schiermeyer  Den Urlaubern ist das große Tohuwabohu auf den Flughäfen gestern erspart geblieben. Der Tarifkonflikt bei den Fluglotsen wird nun nicht mehr mit Hilfe eines Streiks, sondern im Beisein eines Schlichters gelöst. In buchstäblich letzter Minute hatte die Deutsche Flugsicherung (DSF) in der Nacht zu Dienstag den Vermittler angerufen. Daraufhin konnten am Dienstagmorgen insbesondere im Südwesten die meisten Starts und Landungen wie geplant durchgeführt werden. In Stuttgart wären im Falle des Streiks einige Starts und Landungen mit einer Ausnahmegenehmigung des Regierungspräsidiums schon ab 5.15 Uhr erledigt worden; diese Möglichkeit wurde letztendlich nicht in Anspruch genommen. Wegen der Irritationen über mögliche Startverschiebungen zeigten sich allerdings etliche Passagiere und auch Reiseveranstalter verunsichert. Auch am Flughafen Frankfurt kam es lediglich zu wenigen Verschiebungen im Flugplan. 30 bis 40 Flüge waren am Montag nach oder vor die angekündigte Streikzeit verlegt worden. Diverse Maschinen vor allem aus Übersee landeten verspätet. Vorangegangen war diesem Hin und Her ein aufreibender Montagabend in zwei Frankfurter Gerichtssälen. Erst nach Mitternacht hatte das Landesarbeitsgericht Hessen den Fluglotsenstreik genehmigt - nachdem ein letzter dringender Appell an die streitenden Parteien, die Streiks abzusagen und gleich in eine Schlichtung zu gehen, vor allem auf Arbeitgeberseite nichts gefruchtet hatte. Daraufhin gab der Vorsitzende Richter Rainer Bram der Gewerkschaft grünes Licht für den Ausstand. Seiner Ansicht nach verstoßen die Streikforderungen weder gegen Gesetzesrecht noch gegen Normen der Verfassung, wie dies die DSF eingewandt hat. Insbesondere die umstrittenen ""qualifizierten Besetzungsregelungen"" - gemeint sind tariflich festgeschriebene Anforderungen an die Qualifikation von Stellenbewerbern - seien ein zulässiges Streikziel. Nachdem weitere Forderungen teilweise zurückgenommen wurden, hatte Bram keine Bedenken mehr, dass gegen die Friedenspflicht verstoßen werde. Bereits am frühen Montagabend hatte das Arbeitsgericht Frankfurt den Streik für zulässig erklärt. Auch Arbeitsrichterin Renate Binding-Thiemann regte vor dem Urteil vergeblich eine Schlichtung an."
