Veranstalter,Thema,Ort,Datum,Uhrzeit der Versammlung,sheet_name
Fridays For Future Erfurt,Friday for Future - Klimastreik,Platz der Völkerfreundschaft (Startkundgebung ca. 15 Minuten) --> Mainzerstraße -->Riethstraße --> Fuchsgrund --> Im Tiergarten --> Ecke Im Tiergarten-Hühnerbalz (Zwischenkundgebung ca. 15 Minuten) --> Hasenwende --> Am Studentenrasen --> Wermutmühlenweg --> Gisperslebener Straße --> Mainzer Straße --> Platz der Völkerfreundschaft (Schlusskundgebung),2019-11-15 00:00:00,12:00 - 13:30 Uhr,2019
AMJ KdöR,Schalom-Alaikum / Moslime gegen Hass,Max-Cars-Platz 1 auf Gehrweg,2019-11-09 00:00:00,12:00 - 13:00 Uhr,2019
AMJ KdöR,Schalom-Alaikum / Moslime gegen Hass,Anger - Dreieck,2019-11-09 00:00:00,14:00 - 20:00 Uhr,2019
"AJZ Erfurt ""Banane""","30 Jahre AJZ - Wo es begann, bis zum heutigen Tag. Eine Route der Geschichte des AJZ",Aufzug: Krämerbrücke --> Vollbrachtstraße,2019-11-16 00:00:00,13.00 - 16.00 Uhr,2019
Aktion Sühnezeichen Friedensdienste e.V. Landesgruppe Thüringen,Information über die Novemberpogrome 1938 und Gedenken an ihre Opfer,Vor dem Anger 1,2019-11-09 00:00:00,12:00 - 16:00 Uhr,2019
Der III. Weg,Erfurt Erwache - Gemeinsam gegen Kapitalismus und Kommunismus - Für unser Deutsches Vaterland!,"Vilniusspassage, EKZ Roter Berg, Melchendorfer Markt",2019-11-23 00:00:00,"10.00 - 11.00 Uhr
12.00 - 13.00 Uhr
14.00 - 15.00 Uhr",2019
Fridays For Future Erfurt,Fridays for Future - Klimastreik,Aufzug: Angerdreieck --> Innenstradt --> Domplatz,2019-11-29 00:00:00,12.00 - 17.00 Uhr,2019
Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Fischmarkt,2019-11-16 00:00:00,15.00 - 18.00 Uhr,2019
AMJ KdöR,Liebe für Alle - Hass für Keinen,Anger (vor Ursulinenkloster),2019-11-15 00:00:00,15.30 - 21.00 Uhr,2019
GRÜNE JUGEND Erfurt,Transgender Day of Remembrance - Gewalt und Diskriminierung an trans Personen beenden!,Fischmarkt,2019-11-20 00:00:00,15.00 - 17.00 Uhr,2019
Bürger von Orlamünde,Lärmbelästigung B88 in Orlamünde,Jürgen-Fuchs-Straße (Landtag) / Beethovenstraße (Umweltamt),2019-11-28 00:00:00,14:15 - 15:30 Uhr,2019
Critical Mass Erfurt,"Verkehrspolitische Radtour: Wir behindern nicht den Verkehr, wir sind Verkehr",Willy-Brandt-Platz --> Stadtgebiet --> Hirschgarten,2019-11-29 00:00:00,18.30 - 20.00 Uhr,2019
Internationalistisches Bündnis,Mahnwache: Aufstehen gegen die globale Klima- und Umweltkatastrophe,Willy-Brandt-Platz,2019-11-29 00:00:00,10.00 - 11.15 Uhr,2019
Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Lutherdenkmal,2019-12-07 00:00:00,14:00 - 17:00 Uhr,2019
Der III. Weg,"Vom ICH zum WIR! - Erst unser Volk, dann all die anderen - Erst unsere Heimat und dann die Welt!",Auenstraße 55,2019-12-21 00:00:00,10.00 - 12.00 Uhr,2019
Fridays For Future Erfurt,Klimademo - Lichterkettenmarsch durch Erfurt,Willy-Brandt-Platz --> Innenstadt --> Willy-Brandt-Platz,2019-12-20 00:00:00,16.00 - 19.00 Uhr,2019
DGB Thüringen,Tarifbindung stärken / Weihnachtsgeld für alle,Domplatz / Ecke Marktstraße (vor tegut),2019-12-16 00:00:00,16.30 - 18.00 Uhr,2019
Albert Schweitzer Stiftung für unsere Mitwelt,"Mahnwache: Für die Einhaltung der Standards der Europäischen Masthuhn-Initiative und gegen die Tierschutzstandards von ""Subway""",Zwischen dem Schaufenster der Subway-Filiale im Anger 1 entlang des Krämpfertors bis vor zum Anger und vor den Haupteingang des Anger 1,2019-12-18 00:00:00,12.00 - 14.00 Uhr,2019
"Einzelperson
ABGESAGT",Ein Volk will Zukunft! - Heimat bewahren! Überfremdung stoppen! Kapitalismus zerschlagen!,Juri-Gagarin-Ring / Löberstraße ,2020-05-01 00:00:00,10.00 - 18.00 Uhr,2020
Linksjugend [`solid] SDS Erfurt ABGESAGT,Dem 3. Weg den Tag versauen!,Willy-Brandt-Platz,2020-05-01 00:00:00,12.00  - 18.00 Uhr,2020
DGB Region Thüringen,2020-05-01 00:00:00,Thüringer Staatskanzlei --> Regierungsstraße --> Lutherstraße --> Karl-Marx-Platz --> Juri-Gagarin-Ring --> Bahnhofstraße --> Anger (Abschlusskundgebung),2020-05-01 00:00:00,06.00 - 18.00 Uhr,2020
"Fridays For Future Erfurt
ABGESAGT",KlimaGERECHTIGKEIT - Für Klimaschutz und soziale Gerechtigkeit,Johann-Sebastian-Bach-Straße (neben dem Landtag),2020-05-01 00:00:00,09.00 - 20.00 Uhr,2020
Fridays gegen Altersarmut,Fridays gegen Altersarmut,Angerdreieck,2020-01-24 00:00:00,16.00 - 18.00 Uhr,2020
Seebrücke Erfurt / Offenes Jugendbüro RedRoXX,Lesung von Ausschnitten aus dem Buch Haymatlos,Fischmarkt,2020-01-15 00:00:00,15.00 - 20.00 Uhr,2020
Seebrücke Erfurt,"Aktionsmonat Erfurt zum sicheren Hafen, # 1",Fischmarkt,2020-01-08 00:00:00,15:00 - 19:00 Uhr,2020
Seebrücke Erfurt,"Aktionsmonat Erfurt zum sicheren Hafen, # 3",Fischmarkt,2020-01-22 00:00:00,15:00 - 19:00 Uhr,2020
Seebrücke Erfurt,"Aktionsmonat Erfurt zum sicheren Hafen, # 4",Fischmarkt,2020-01-29 00:00:00,15:00 - 19:00 Uhr,2020
Seebrücke Erfurt,"Aktionsmonat Erfurt zum sicheren Hafen, # 5",Fischmarkt,2020-02-05 00:00:00,15:00 - 19:00 Uhr,2020
Jusos Erfurt ABGESAGT ,Tag der Befreiung,Fischmarkt,2020-05-08 00:00:00,09.00 - 22.00 Uhr,2020
Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2020-01-08 00:00:00,13:00 - 16:00 Uhr,2020
Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Fischmarkt,2020-01-25 00:00:00,14:00 - 17:00 Uhr,2020
Jusos Erfurt ABGESAGT ,Tag der Befreiung,Angerdreieck,2020-05-08 00:00:00,08.00 - 22.00 Uhr,2020
Albert Schweitzer Stiftung für unsere Mitwelt,"Tierschutz/""Massentierhaltung abschaffen""/gegen Karnismus/für Mitgefühl mit allen fühlenden Lebewesen","Menschenkette vom Neuen Angerbrunnen bis Anger 8, Podest mit Protestszene: Anger 8",2020-01-11 00:00:00,14.00 - 17.00 Uhr,2020
Die LINKE Erfurt,Gedenkveranstaltung - Ehrung Luxemburg und Liebknecht,Rosa-Luxemburg-Platz,2020-01-19 00:00:00,09.30 -11.00 Uhr,2020
Fridays For Future Erfurt,#StopAdani - Keine Beteiligung von Siemens am Adani-Kohleprojekt,Werner-von-Siemens-Straße 1,2020-01-10 00:00:00,11.00 - 13.00 Uhr,2020
Jusos Erfurt ABGESAGT ,Tag der Befreiung,Hirschgarten,2020-05-08 00:00:00,09.00 - 22.00 Uhr,2020
"Interessengemeinschaft Land schafft Verbindung Thüringen, Thüringer Bauernverband",Sauberes Wasser bracht saubere Politik!,"Johann-Sebastian-Bach-Straße, Jürgen-Fuchs-Straße, Freifläche zwischen Landtag und Umweltministerium",2020-01-15 00:00:00,10.00 - 20.00 Uhr,2020
Arbeitsgemeinschaft bäuerliche Landwirtschaft Mitteldeutschland (ABL),Wir haben es satt - Landvergabepraxis in Erfurt und Thüringen,Fischmarkt,2020-01-16 00:00:00,10:00 - 11:30,2020
Ahmadiyya Muslim Jamaat KdöR,Liebe für Alle Hass für Keinen / Muslime für Frieden,Angerdreieck,2020-01-11 00:00:00,12.00 - 18.00 Uhr,2020
Gewerkschaft Erziehung und Wissenschaft Thüringen GEW Thüringen,Es reicht! Erleuchtung für die Landesregierung - für bessere Arbeitsbedingungen in den Horten,"Thüringer Landtag, Jürgen-Fuchs-Straße 1",2020-01-29 00:00:00,17.30 - 19.00 Uhr,2020
Der Dritte Weg,Ausländerrückführung statt Integrationsirrsinn,Einkaufszentrum Roter Berg,2020-01-18 00:00:00,10.00 - 12.00 Uhr,2020
Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,"Wir brauchen Umweltschutz und Arbeitsplätze!
Runter mit der Arbeitszeit - rauf mit den Renten!
Zum Weltfrauentag!
Kundgebung zum Ostermarsch
100 Jahre Kriegsende und Befreiung vom Faschismus
Für einen kostenlosen und besseren Öffentlichen Nahverkehr!",Angerdreieck,"23.01.2020
13.02.2020
05.03.2020
09.04.2020
07.05.2020
04.06.2020","17.00 - 18.00 Uhr
17.00 - 18.00 Uhr
17.00 - 18.00 Uhr
17,.00 - 18.00 Uhr
17.00 - 18.00 Uhr
17.00 - 18.00 Uhr",2020
Fridays For Future Erfurt,Fridays For Future - Klimastreik,Angerdreieck --> Fischmarkt,2020-01-31 00:00:00,14.00 - 17.00 Uhr,2020
Critical Mass Erfurt,Verkehrspolitische Radtour - Wir behindern nicht den Verkehr - wir sind der Verkehr,Willy-Brandt-Platz --> Stadtgebiet --> Fischmarkt,2020-01-31 00:00:00,18.30 - 20.30 Uhr,2020
Neues Deutsches Forum,Wählerwille achten! Gesicht zeigen!,Domplatz Erfurt,2020-01-30 00:00:00,18:00 - 21:00 Uhr,2020
Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Fischmarkt,2020-02-15 00:00:00,14.00 - 17.00 Uhr,2020
Soildaritätsnetzwerk Erfurt,Für einen kostenlosen öffentlichen Nahverkehr,Angerdreieck,2020-02-15 00:00:00,10.00 - 12.00 Uhr,2020
Bündnis: Auf die Plätze,Kein Naziaufmarsch in Erfurt,Bahnhof Südseite / Schillerstraße / Windthorststraße / Spielbergtor,2020-05-01 00:00:00,09.00 - 13.30 Uhr,2020
Frauen*kampftag Thüringen,Frauen+Kampftag,Aufzug Willy-Brandt-Platz --> Innenstadt --> Willy-Brandt-Platz,2020-03-08 00:00:00,14.00 - 17.00 Uhr,2020
Fridays For Future,Wer hat uns verraten?,Angerdreieck --> Bahnhofstraße --> Windthorststraße --> Johannes-Sebastian-Bach-Straße,2020-02-05 00:00:00,,2020
"Parteilos, ""Fridays gegen Altersarmut""",Altersarmut,Angerdreieck,2020-02-15 00:00:00,14:00 - 17:00 Uhr,2020
Einzelperson,#AFDP verhindern,Domplatz --> Fischmarkt --> Anger --> Staatskanzlei,2020-02-06 00:00:00,16:30 - 20:00 Uhr,2020
DGB Thüringen,Nie wieder! Nicht mit uns!,"Domplatz (Kundgebung) --> Lauentor --> M.-Welsch-Str.
--> Bonifatiusstr. --> K. Marx-Platz --> Neuwerkstraße --> Neuwerkstraße --> Thüringer Staatskanzlei (Zwischen-
kundgebung) --> Anger --> Angerkreuz --> Schlösserstraße
--> Fischmarkt --> Marktstraße --> Domplatz",2020-02-15 00:00:00,11:00 - 17:00 Uhr,2020
Albert Schweitzer Stiftung für unsere Mitwelt,"Tierschutz/""Massentierhaltung abschaffen""/gegen Karnismus/für Mitgefühl mit allen fühlenden Lebewesen",Hefengasse 1 bis Rathausbrücke 10,2020-02-22 00:00:00,13:00 - 16:00 Uhr,2020
Auf die Plätze - Bündnis,Taten statt Worte - Kemmerich Rücktritt jetzt!,Angerdreieck --> Schlösserstraße --> Fischmarkt (Zwischenkundgebung) --> Marktstraße --> Domplatz (Zwischenkundgebung) --> Kettenstraße --> Lange Brücke --> Regierungsstraße --> Thüringer Staatskanzlei,2020-02-07 00:00:00,16:30 - 19:30 Uhr,2020
Einzelperson,Mahnwache,Staatskanzlei,2020-02-06 00:00:00,12:00 Uhr,2020
Einzelperson,DEMO gegen den neuen MP,"Thüringer Landtag, Jürgen-Fuchs-Straße 1",2020-02-06 00:00:00,08:00 Uhr,2020
Auf die Plätze - Bündnis,Taten statt Worte,"Bahnhofsvorplatz --> Bahnhofstraße --> Anger --> Krämpferstraße --> Leipziger Platz --> Liebknechtstraße
--> Liebkechtstraße 16",2020-02-08 00:00:00,14:30 - 16:30 Uhr,2020
Einzelperson,Wahl des Ministerpräsidenten in Thüringen,Domplatz (Obekisk),2020-02-11 00:00:00,13:00 - 17:00 Uhr,2020
Neues Deutsches Forum,Wir wollen die Demokratie zurück!,Domplatz,2020-02-13 00:00:00,18.30 - 20.30 Uhr,2020
Kidical Mass Erfurt ABGESAGT,Platz da für die nächste Generation! - Angstfreies Radfahren für Alle!,Willy-Brandt-Platz --> Thälmannstraße --> Liebknechtstraße --> Stauffenbergallee --> Juri-Gagarin-Ring --> Augustiner Straße --> Michaelisstraße --> Rathausbrücke --> Junkersand --> Barfüßerstraße --> Meister-Eckehardt-Straße --> Hirschgarten,2020-03-22 00:00:00,15:00 - 17:00 Uhr,2020
Mitglieder der christlichen Kirchen in Erfurt ev. Kirchenkreis Erfurt,"Christ*innen für eine offene, tolerante und gerechte Gesellschaft - Kirche gegen Rechtsextremismus",Fischmarkt,2020-02-13 00:00:00,17:30 - 18:15 Uhr,2020
Bürger für Thüringen,"Für ein freies, demokratisches, selbstbestimmtes Thüringen",Angerdreieck,2020-02-22 00:00:00,14.00 - 16.00 Uhr,2020
Einzelperson,"Lesung: ""Gewalt an Frauen"" Öffentliche Lesung aus Artikeln, diversen Texten. Es soll auf Gewalt an Frauen aufmerksam gemacht werden.",Fischmarkt,2020-03-04 00:00:00,16.00 - 17.00 Uhr,2020
Albert Schweitzer Stiftung für unsere Mitwelt,Protest gegen das Unternehmen Subway wegen tierqualerischen Haltungsbedingungen für Masthühner,vor Anger 1,2020-02-29 00:00:00,12:00 - 15:00 Uhr,2020
Fridays For Future Erfurt,Mit Klimagerechtigkeit gegen den Faschismus - Keine Zusammenarbeit mit Klimawandelleugner*innen,Angerdreieck (Auftaktkundgebung ca. 30 Minuten) --> Bahnhofstraße --> Schillerstraße --> Windthorststraße --> Friedrich-Ebert-Straße 63 (Abschlusskundgebungvor der Landesgeschäftsstelle der CDU Thüringen ca. 30 Minuten),2020-02-28 00:00:00,14:00 - 17:00 Uhr,2020
"Seebrücke Erfurt
ABGESAGT","Aktionsmonat Erfurt zum sicheren Hafen, #5 zweiter Anlauf",Fischmarkt,2020-03-11 00:00:00,15.00 - 17.30 Uhr,2020
"Fridays For Future Erfurt
ABGESAGT",Für eine klimagerechte Welt,Angerdreieck + Aufzug --> Johann-Sebastian-Bach-Straße ,2020-04-24 00:00:00,12.00 - 16.00 Uhr,2020
Jusos Erfurt,Gedenkkundgebung für die Opfer von Hanau. Rassismus stoppen!,Angerdreieck,2020-02-20 00:00:00,18.00 - 19.00 Uhr,2020
AfD Landesverband Thüringen,,Aufzug Jürgen-Fuchs-Straße 1 --> Friedrich-Ebert-Straße,2020-03-03 00:00:00,16.00 - 22.00 Uhr,2020
Einzelperson,"Schwarz-Rot-Gold Karnevalsevent. Start 19:33? Aufruf zur Reflexion, Empörung über Ignoranz","Lange Brücke (ggü. ""DasDie BRETTL"")",2020-02-24 00:00:00,18.00 - 19.45 Uhr,2020
Neues Deutsches Forum,Freitag für Demokratie (Friday for democracy),Domplatz,2020-02-28 00:00:00,18.30 - 21.00 Uhr,2020
Bürger für Mohring,Mohring muss erhalten bleiben,Angerdreieck,2020-03-01 00:00:00,14.45 - 17.45 Uhr,2020
Erfurt Against Insian Fascism,Solidaritätskundgebung für die Opfer von religiös motivierter Gewalt in Indien,"Anger, an der Maus auf der Fläche zwischen Maus, Wasserspende und Straßenbahnhaltestellen",2020-03-05 00:00:00,15.45 - 18.00 Uhr,2020
Bündnis Auf die Plätze,,Aufzug Willy-Brandt-Platz --> Stadtgebiet --> Willy-Brandt-Platz,2020-03-03 00:00:00,15.00 - 19.00 Uhr,2020
Bürger für Thüringen ,Mahnwache für Freiheit und Demokratie,"Gedenkstätte Andreasstraße, Andreasstraße 37 A",2020-03-03 00:00:00,19.15 - 20.15 Uhr,2020
Bündnis Auf die Plätze,Nicht noch einmal! - Keine Kooperation mit Faschisten!,Johann-Sebastian-Bach-Straße / Jürgen-Fuchs-Straße (Gehweg),2020-03-04 00:00:00,13.30 - 16.30 Uhr,2020
Albert Schweitzer Stiftung für unsere Mitwelt,"Tierschutz, Europäische Masthuhn-Initiative, Protest gegen die  Haltungsbedingungen für Masthühnern, deren Fleisch Subway bezieht",vor Lutherdenkmal,2020-03-04 00:00:00,14.30 - 16.30 Uhr,2020
Stadtverband DIE LINKE Erfurt ABGESAGT,Gedenken Märzgefallene / Kranzniederlegung,Hauptfriedhof,2020-03-21 00:00:00,09.30 - 11.30 Uhr,2020
Einzelperson ABGESAGT ,"Kein ""Dritter Weg"" in Erfurt / Faschismus entgegentreten",Thälmannstraße / Stauffenbergallee,2020-05-01 00:00:00,09.00 - 16.00 Uhr,2020
"Animal Rights Watch e.V., die Tierbefreier e.V. ABGESAGT","Mord ist ihr Hobby (Kundgebung gegen die Messeveranstaltung ""Reiten, Jagen, Fischen"")","Platz vor der Messe, Gothaer Straße",2020-03-28 00:00:00,10.30 - 13.00 Uhr,2020
Christlich-soziale Dienste TOS Leipzig e.V. ABGESAGT,Marsch des Lebens - Gedenk- und Versöhungsveranstaltung anlässlich von Yom HaShoa,Max-Cars-Platz --> Innenstadt --> Fischmarkt,2020-04-29 00:00:00,17.30 - 19.00 Uhr,2020
"IG Metall Bezirksleitung Mitte
ABGESAGT",#FAIRWANDEL - Tarifbewegung IG Metall 2020,Jürgen-Fuchs-Straße / Beethovenplatz,2020-03-17 00:00:00,12.00 - 18.00 Uhr,2020
Einzelperson ABGESAGT,Ab in den Süden - Dem Nazikiez auf die Pelle rücken!,Aufzug Friedrich-Ebert-Straße --> Stielerstraße 1,2020-04-30 00:00:00,17.00 - 22.00 Uhr,2020
"Der III. Weg
ABGESAGT ",Ein Volk braucht Zukunft! Kapitalismus bekämpfen! Heraus zum 01.Mai in Erfurt,"Abzweig Wiesenhügel, Vilniuspassage, Willy-Brandt-Platz
Melchendorfer Markt, Berliner Platz, Fischmarkt
Drosselberg, Moskauer Platz, Willy-Brandt-Platz
Färberwaidweg, Leipziger Platz, Anger","27.04.2020
28.04.2020
29.04.2020
30.04.2020","10.00 - 17.30 Uhr
10.00 - 17.30 Uhr
10.00 - 17.30 Uhr
10.00 - 17.30 Uhr",2020
Freie Kulturkarawane (freier Zusammenschluss von mehreren Veranstaltern),FKK-Freie Kulturkarawane: Schutz und Förderung kultureller Räume ,Domplatz --> Innenstadt --> Ilversgehovener Platz,2020-05-23 00:00:00,13.00 - 17.00 Uhr,2020
Anonymous for the Voiceless ABGESAGT,Abschaffung des Tierleides durch Veganismus,Fischmarkt,2020-03-21 00:00:00,14.00 - 17.00 Uhr,2020
Albert Schweitzer Stiftung für unsere Mitwelt,"Tierschutz, Prostest gegen Massentierhaltung und Karnismus, speziell gegen das Leid der Legehennen in der Eierindustrie",vom neuen Angerbrunnen bis Anger 8,2020-03-14 00:00:00,13.00 - 16.00 Uhr,2020
Demokratische Gesellschaft Kurdinnen in Thüringen e.V. AGESAGT,Newroz-Fest,Willy-Brandt-Platz --> Innenstadt --> Domplatz,2020-03-20 00:00:00,15.00 - 18.00 Uhr,2020
"Seebrücke Erfurt
ABGESAGT","Aktionsmonat Erfurt zum sicheren Hafen, #5 zweiter Anlauf",Fischmarkt --> Wenigemarkt --> Gera --> Hein Blöd und Käpt'n Blaubär,2020-04-22 00:00:00,15.00 - 17.30 Uhr,2020
"Linksjugend [`solid] Thüringen, DGB Jugend ABGESAGT ",Nachtanzdemo zum Tag der Befreiung,Angerdreieck,2020-05-08 00:00:00,14.00 - 18.00 Uhr,2020
Einzelperson,Eilversammlung zum Prostest gegen die Menschenrechtsverletzungen an der & vor der griechischen Grenze und in den Flüchtlingslagern,Domplatz,2020-03-20 00:00:00,14.00 - 16.00 Uhr,2020
"AIDS - Hilfe Thüringen e.V.
ABGESAGT !!",Gedenkveranstaltung an der Steinspur vor den Domstufen,Domplatz,2020-11-04 00:00:00,16.00 - 18.00 Uhr,2020
Einzelperson ABGESAGT,Tag der Befreiung!,Juri-Gagarin-Ring / Löberstraße,2020-05-08 00:00:00,09.00 - 20.00 Uhr,2020
Einzelperson ABGESAGT ,Für Frieden und Freiheit - Danke für die Befreiung vom deutschen Faschismus,Karl-Marx-Platz,2020-05-08 00:00:00,09.00 - 20.00 Uhr,2020
Einzelperson ABGESAGT ,8.Mai 2020 - 75 Jahre Befreiung feiern,Johann-Sebastian-Bach-Straße / Jürgen-Fuchs-Straße ,2020-05-08 00:00:00,09.00 - 20.00 Uhr,2020
Einzelperson ABGESAGT ,Nieder mit den Faschisten!! 75 Jahre Befreiung würdig feiern,"Willy-Brandt-Platz, Ecke Richtung Bahnhofstraße",2020-05-08 00:00:00,09.00 - 20.00 Uhr,2020
Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,1. Mai Kundgebung / Mahnwache,Angerdreieck,2020-05-01 00:00:00,10.00 - 10.45 Uhr,2020
Neue Stärke,75 Jahre Befreiung vom Hitlerfaschismus durch die Alliierten,"Petersberg, Denkmal des unbekannten Wehrmachtsdesserteurs",2020-05-08 00:00:00,16.00 - 17.00 Uhr,2020
Einzelperson,"""Nie wieder Faschismus""",Max Cars Platz und angrenzender Ententeich,2020-05-01 00:00:00,10:00 - 18:00 Uhr,2020
"Einzelperson
ABGESAGT ",Deutscher Sozialismus statt Klassenkampf - Kapitalismus und Kommunismus zerschlagen!,Angerdreieck,2020-05-01 00:00:00,12.00 - 14.00 Uhr,2020
VCD Erfurt,Fahrrad - fürs Klima auf Tour,Domplatz --> Stadtgebiet --> Domplatz,2020-04-24 00:00:00,18.30 - 20.00 Uhr,2020
AfD Landesverband Thüringen,WIRD NACHGEREICHT,Domplatz,2020-05-01 00:00:00,10:00 - 15:00 Uhr,2020
Stadtverband Die Linken,Neue Stärke,Anger Ost,2020-05-01 00:00:00,10:00 - 12:00 Uhr,2020
AfD-Landesverband Thüringen,WIRD NACHGEREICHT,"Auftakt Juri-Gagarin-Ring / Löberstraße
Route: Löberstraße --> Arnstädter Straße --> Johann-Sebastian-Bach Straße
Abschlusskundgebung: Johann-Sebastian-Bach Straße Bühne Höhe Einfahrt Eissporthalle",2020-05-01 00:00:00,10:00 - 15:00 Uhr,2020
Neues Deutsches Forum,Wir wollen unsere Grund- und Bürgerrechte zurück! Schluss mit dem Corona-Irrsinn!,Domplatz,2020-04-25 00:00:00,15:00 - 17:00 Uhr,2020
Merkur-Urlaubscenter,Wir Reisebüros verschaffen uns Gehör,Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-04-29 00:00:00,12.00 - 16.00 Uhr,2020
Seebrücke Erfurt,LeaveNooneBehind: Kundgebung der Seebrücke Erfurt,Angerdreieck,2020-04-25 00:00:00,12.00 - 13.00 Uhr,2020
Stammtisch-Gruppe Corona Krise,Rettung der Gastronomiebetriebe in der Corona-Krise,Domplatz,2020-04-24 00:00:00,11.00 - 13.00 Uhr,2020
Ahmadiyya Muslim Jamaat Kdör,Liebe für Alle Hass für Keinen,Angerdreieck,2020-04-25 00:00:00,13:30 - 18:00 Uhr,2020
Thüringer Fahrlehrerverband e.V.,Wiedereröffnung der Fahrschulen,Wermer-Seelenbinder-Straße (Aufzug --> Werner-Seelenbinder-Straße),2020-04-29 00:00:00,10.30 - 11.30 Uhr,2020
Nicht ohne uns!,Schutz des Grundgesetzes der Bundesrepublik Deutschland,Domplatz,2020-05-02 00:00:00,15:30 - 17:30 Uhr,2020
Ahmadiyya Muslim Jamaat KdöR,"Liebe für Alle, Hass für Keinen",Angerdreieck,2020-05-02 00:00:00,13:00 - 18:00 Uhr,2020
SPD Ortsverein Erfurt-West,Weg aus der Coronakrise,Hinter der Rennbahn 2,2020-05-22 00:00:00,16:00 - 20:00 Uhr,2020
Stammtisch-Gruppe Corona Krise,"Rettung der Gastronomiebetriebe in der Corona-Krise, Zustellung offener Brief an MP",Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-04-29 00:00:00,11:00 - 11:30 Uhr,2020
Stammtisch-Gruppe Corona Krise,"Rettung der Gastronomiebetriebe in der Corona-Krise, Zustellung offener Brief an MP",Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-04-29 00:00:00,11:00 - 11:30 Uhr,2020
OMAS GEGEN RECHTS Erfurt,Demokratiegespräche (jeden 1. Mittwoch im Monat),Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-05-06 00:00:00,12:00 - 13:00 Uhr,2020
Einzelperson,Signal zeigen gegen rechts- für Grund- und Menschenrechte,Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-05-01 00:00:00,11:30 - 14:00 Uhr,2020
Einzelperson,Wiedereröffnung der Kosmetikstudios,Fischmarkt,2020-05-01 00:00:00,11.55 - 12.55 Uhr,2020
DIE LINKE Erfurt,Tag der Befreiung,vor Anger 1,2020-05-08 00:00:00,12.00 - 14.00 Uhr,2020
Deutsch-Russische Freundschaftsgesellschaft in Thüringen e.V.,75. Jahrestag der Befreiung vom Nationalsozialismus,Hauptfriedhof,2020-05-08 00:00:00,10.00 - 11.00 Uhr,2020
Radentscheid Erfurt n.e.V.,Mehr Platz im öffentlichen Raum für Fuß- und Radverkehr,Juri-Gagarin-Ring von Trommsdorffstraße bis Lachsgasse beidseitige Sperrung jeweils einer Fahrspur,2020-05-11 00:00:00,15:00 - 18:00 Uhr,2020
Nicht ohne uns!,Schutz des Grundgesetzes der Bundesrepublik Deutschland,Domplatz,2020-05-09 00:00:00,15:00 - 17:30 Uhr,2020
Einzelperson,Lasst die Reisebranche nicht an Corona sterben!,Jürgen-Fuchs-Straße alt. Mozartallee,2020-05-08 00:00:00,12:00 - 14:00 Uhr,2020
Einzelperson,Verstoß gegen das StGB § 344 durch Mitarbeiter der Ordnungsbehörde Erfurt und der Polizei Erfurt - Widerrechtliche Personenkontrollen ohne Erkennbare Gründe bei Privatpersonen und damit Verstoß gegen das Grundgesetz der BRD,Fischmarkt,2020-05-05 00:00:00,11:00 - 11:45 Uhr,2020
Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2020-05-23 00:00:00,14:00 - 17:00 Uhr,2020
Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2020-05-30 00:00:00,14:00 - 17:00 Uhr,2020
Neues Deutsches Forum,"Grundrechte sind unantastbar! Schulen, KiTa's und Gastronomie wieder vollumfänglich öffnen.",Domplatz --> Fischmarkt --> Anger --> Domplatz,2020-05-08 00:00:00,18:00 - 21:00 Uhr,2020
Stammtisch Gruppe Corona-Krise,Rettung der Gastronomiebetriebe,Palais Steakhouse Futterstraße 13,2020-05-06 00:00:00,19.30 - 21.00 Uhr,2020
Klanggerüst e.V. - Verein zur Förderung von Kunst- und Kulturschaffenden,Flashmob: 75. Jahrestag - Tag der Befreiung vom Faschismus,Vereinsheim Freifläche Magdeburger Allee 175,2020-05-08 00:00:00,15.30 - 17.30 Uhr,2020
KulturQuartier Erfurt e.V.,Goldene Zeiten? Wir fordern einen Fahrplan zur Wiedereröffnung von Kultureinrichtungen!,"Schauspielhaus, Klostergang 4",2020-05-08 00:00:00,15:00 - 15:15 Uhr,2020
KulturQuartier Erfurt e.V.,Goldene Zeiten? Wir fordern einen Fahrplan zur Wiedereröffnung von Kultureinrichtungen!,Thüringer Staatskanzlei,2020-05-08 00:00:00,15:30 - 15:45 Uhr,2020
KulturQuartier Erfurt e.V.,Goldene Zeiten? Wir fordern einen Fahrplan zur Wiedereröffnung von Kultureinrichtungen!,Angerdreieck,2020-05-08 00:00:00,16:00 - 16:15 Uhr,2020
